Adc_cl_dB_arr,CMRR_dc_dB_arr
3.986330000000000240e+01,7.765999999999999659e+01
3.986460000000000292e+01,7.765999999999999659e+01
3.985790000000000077e+01,7.765999999999999659e+01
3.986119999999999663e+01,7.765999999999999659e+01
3.986460000000000292e+01,7.765999999999999659e+01
3.986419999999999675e+01,7.765999999999999659e+01
3.986050000000000182e+01,7.765999999999999659e+01
3.987069999999999936e+01,7.765999999999999659e+01
3.984369999999999834e+01,7.765999999999999659e+01
3.986059999999999803e+01,7.765999999999999659e+01
