Vcm,tsettle
7.515910000000000091e-01,3.680999999999999828e-01
7.516230000000000411e-01,3.680990000000000095e-01
7.515899999999999803e-01,3.681010000000000115e-01
7.517540000000000333e-01,3.680980000000000363e-01
7.517650000000000166e-01,3.680980000000000363e-01
7.516850000000000476e-01,3.680990000000000095e-01
7.517589999999999550e-01,3.680980000000000363e-01
7.515429999999999611e-01,3.680990000000000095e-01
7.512990000000000501e-01,3.834359999999999991e-01
7.516190000000000371e-01,3.680980000000000363e-01
7.514140000000000263e-01,3.834359999999999991e-01
7.515770000000000506e-01,3.680999999999999828e-01
7.513069999999999471e-01,3.834359999999999991e-01
7.516500000000000403e-01,3.680990000000000095e-01
7.517230000000000301e-01,3.680990000000000095e-01
7.516300000000000203e-01,3.680990000000000095e-01
7.516100000000000003e-01,3.680990000000000095e-01
7.517829999999999790e-01,3.680980000000000363e-01
7.515500000000000513e-01,3.680990000000000095e-01
7.515420000000000433e-01,3.681019999999999848e-01
7.512309999999999821e-01,3.834359999999999991e-01
7.514729999999999466e-01,3.681030000000000135e-01
7.515979999999999883e-01,3.680999999999999828e-01
7.517089999999999606e-01,3.680990000000000095e-01
7.516810000000000436e-01,3.680990000000000095e-01
7.516659999999999453e-01,3.680999999999999828e-01
7.518029999999999990e-01,3.680980000000000363e-01
7.515560000000000018e-01,3.681010000000000115e-01
7.516230000000000411e-01,3.680999999999999828e-01
7.516070000000000251e-01,3.680999999999999828e-01
7.518089999999999495e-01,3.680990000000000095e-01
7.520550000000000290e-01,3.527660000000000240e-01
7.518629999999999480e-01,3.537379999999999969e-01
7.516249999999999876e-01,3.680990000000000095e-01
7.515830000000000011e-01,3.680990000000000095e-01
7.518780000000000463e-01,3.527700000000000280e-01
7.515500000000000513e-01,3.681030000000000135e-01
7.515279999999999738e-01,3.681019999999999848e-01
7.515819999999999723e-01,3.680990000000000095e-01
7.515420000000000433e-01,3.681049999999999600e-01
7.516479999999999828e-01,3.680990000000000095e-01
7.516140000000000043e-01,3.680990000000000095e-01
7.517190000000000261e-01,3.680980000000000363e-01
7.516100000000000003e-01,3.681010000000000115e-01
7.514210000000000056e-01,3.834359999999999991e-01
7.516159999999999508e-01,3.680980000000000363e-01
7.514760000000000328e-01,3.681059999999999888e-01
7.516100000000000003e-01,3.681010000000000115e-01
7.516709999999999781e-01,3.680990000000000095e-01
7.517089999999999606e-01,3.680990000000000095e-01
7.516169999999999796e-01,3.680999999999999828e-01
7.517000000000000348e-01,3.680980000000000363e-01
7.523600000000000287e-01,3.527630000000000488e-01
7.515880000000000338e-01,3.680999999999999828e-01
7.516439999999999788e-01,3.680999999999999828e-01
7.518700000000000383e-01,3.680980000000000363e-01
7.516249999999999876e-01,3.680999999999999828e-01
7.515619999999999523e-01,3.680990000000000095e-01
7.518270000000000231e-01,3.680980000000000363e-01
7.517019999999999813e-01,3.680990000000000095e-01
7.515009999999999746e-01,3.681039999999999868e-01
7.517639999999999878e-01,3.680980000000000363e-01
7.512180000000000524e-01,3.834359999999999991e-01
7.516829999999999901e-01,3.680999999999999828e-01
7.517960000000000198e-01,3.680980000000000363e-01
7.515579999999999483e-01,3.681030000000000135e-01
7.518420000000000103e-01,3.680990000000000095e-01
7.515830000000000011e-01,3.680999999999999828e-01
7.514629999999999921e-01,3.834359999999999991e-01
7.516549999999999621e-01,3.680999999999999828e-01
7.514560000000000128e-01,3.681049999999999600e-01
7.516549999999999621e-01,3.680999999999999828e-01
7.515859999999999763e-01,3.680999999999999828e-01
7.509890000000000176e-01,3.834369999999999723e-01
7.517779999999999463e-01,3.680980000000000363e-01
7.515249999999999986e-01,3.681030000000000135e-01
7.515370000000000106e-01,3.681010000000000115e-01
7.516080000000000538e-01,3.680999999999999828e-01
7.515579999999999483e-01,3.681019999999999848e-01
7.515600000000000058e-01,3.680999999999999828e-01
7.517939999999999623e-01,3.680980000000000363e-01
7.516380000000000283e-01,3.680999999999999828e-01
7.517030000000000101e-01,3.680980000000000363e-01
7.514880000000000448e-01,3.681070000000000175e-01
7.516019999999999923e-01,3.680990000000000095e-01
7.515359999999999818e-01,3.681030000000000135e-01
7.515030000000000321e-01,3.681030000000000135e-01
7.518240000000000478e-01,3.680689999999999795e-01
7.516500000000000403e-01,3.680999999999999828e-01
7.517220000000000013e-01,3.680990000000000095e-01
7.515290000000000026e-01,3.681010000000000115e-01
7.517040000000000388e-01,3.680990000000000095e-01
7.516749999999999821e-01,3.680980000000000363e-01
7.516490000000000116e-01,3.680990000000000095e-01
7.520310000000000050e-01,3.527660000000000240e-01
7.515709999999999891e-01,3.681010000000000115e-01
7.516709999999999781e-01,3.680990000000000095e-01
7.515410000000000146e-01,3.680990000000000095e-01
7.515849999999999476e-01,3.681010000000000115e-01
7.515330000000000066e-01,3.681030000000000135e-01
7.515439999999999898e-01,3.681010000000000115e-01
7.516159999999999508e-01,3.681010000000000115e-01
7.517190000000000261e-01,3.680990000000000095e-01
7.516260000000000163e-01,3.680990000000000095e-01
7.517880000000000118e-01,3.680980000000000363e-01
7.520409999999999595e-01,3.527660000000000240e-01
7.515479999999999938e-01,3.681030000000000135e-01
7.517500000000000293e-01,3.680990000000000095e-01
7.515859999999999763e-01,3.680990000000000095e-01
7.516979999999999773e-01,3.680980000000000363e-01
7.516009999999999636e-01,3.681010000000000115e-01
7.515730000000000466e-01,3.680999999999999828e-01
7.515490000000000226e-01,3.681010000000000115e-01
7.519670000000000520e-01,3.527679999999999705e-01
7.515870000000000051e-01,3.681010000000000115e-01
7.520010000000000305e-01,3.527660000000000240e-01
7.510890000000000066e-01,3.834359999999999991e-01
7.515039999999999498e-01,3.681019999999999848e-01
7.516559999999999908e-01,3.680999999999999828e-01
7.516239999999999588e-01,3.680990000000000095e-01
7.518169999999999575e-01,3.680980000000000363e-01
7.516570000000000196e-01,3.680990000000000095e-01
7.517660000000000453e-01,3.680980000000000363e-01
7.515420000000000433e-01,3.681019999999999848e-01
7.518179999999999863e-01,3.680980000000000363e-01
7.513680000000000359e-01,3.834359999999999991e-01
7.516049999999999676e-01,3.680990000000000095e-01
7.516369999999999996e-01,3.680990000000000095e-01
7.515060000000000073e-01,3.681019999999999848e-01
7.516009999999999636e-01,3.680990000000000095e-01
7.517179999999999973e-01,3.680980000000000363e-01
7.516310000000000491e-01,3.680980000000000363e-01
7.515929999999999556e-01,3.680999999999999828e-01
7.511250000000000426e-01,3.834359999999999991e-01
7.518580000000000263e-01,3.680980000000000363e-01
7.515749999999999931e-01,3.681010000000000115e-01
7.517049999999999566e-01,3.680990000000000095e-01
7.515119999999999578e-01,3.681039999999999868e-01
7.516199999999999548e-01,3.680990000000000095e-01
7.517960000000000198e-01,3.680980000000000363e-01
7.516770000000000396e-01,3.680980000000000363e-01
7.516730000000000356e-01,3.680980000000000363e-01
7.519040000000000168e-01,3.680990000000000095e-01
7.516669999999999741e-01,3.680990000000000095e-01
7.517859999999999543e-01,3.680980000000000363e-01
7.516730000000000356e-01,3.680990000000000095e-01
7.516169999999999796e-01,3.680999999999999828e-01
7.516549999999999621e-01,3.680980000000000363e-01
7.485490000000000199e-01,3.987780000000000213e-01
7.519029999999999880e-01,3.527710000000000012e-01
7.516359999999999708e-01,3.680990000000000095e-01
7.516570000000000196e-01,3.680980000000000363e-01
7.516129999999999756e-01,3.680990000000000095e-01
7.516599999999999948e-01,3.680990000000000095e-01
7.517580000000000373e-01,3.680980000000000363e-01
7.518470000000000431e-01,3.680980000000000363e-01
7.510809999999999986e-01,3.834359999999999991e-01
7.516779999999999573e-01,3.680980000000000363e-01
7.514950000000000241e-01,3.681030000000000135e-01
7.516239999999999588e-01,3.680999999999999828e-01
7.517190000000000261e-01,3.680980000000000363e-01
7.511919999999999709e-01,3.834359999999999991e-01
7.517599999999999838e-01,3.680980000000000363e-01
7.515680000000000138e-01,3.681019999999999848e-01
7.517770000000000286e-01,3.680980000000000363e-01
7.516420000000000323e-01,3.680990000000000095e-01
7.515720000000000178e-01,3.680999999999999828e-01
7.515349999999999531e-01,3.681019999999999848e-01
7.515889999999999516e-01,3.681010000000000115e-01
7.518240000000000478e-01,3.680980000000000363e-01
7.517629999999999590e-01,3.680990000000000095e-01
7.516479999999999828e-01,3.680990000000000095e-01
7.516509999999999581e-01,3.680990000000000095e-01
7.516230000000000411e-01,3.680999999999999828e-01
7.517009999999999525e-01,3.680980000000000363e-01
7.517960000000000198e-01,3.680980000000000363e-01
7.517380000000000173e-01,3.680980000000000363e-01
7.515669999999999851e-01,3.680999999999999828e-01
7.515920000000000378e-01,3.680999999999999828e-01
7.517960000000000198e-01,3.680259999999999643e-01
7.514920000000000488e-01,3.681010000000000115e-01
7.515370000000000106e-01,3.681019999999999848e-01
7.517690000000000206e-01,3.680990000000000095e-01
7.514680000000000248e-01,3.681059999999999888e-01
7.515089999999999826e-01,3.681010000000000115e-01
7.516059999999999963e-01,3.680990000000000095e-01
7.508049999999999446e-01,3.834369999999999723e-01
7.516460000000000363e-01,3.680999999999999828e-01
7.513440000000000119e-01,3.834359999999999991e-01
7.516239999999999588e-01,3.681010000000000115e-01
7.518620000000000303e-01,3.680980000000000363e-01
7.518259999999999943e-01,3.680980000000000363e-01
7.515819999999999723e-01,3.680999999999999828e-01
7.518209999999999615e-01,3.680990000000000095e-01
7.515950000000000131e-01,3.681010000000000115e-01
7.515990000000000171e-01,3.680999999999999828e-01
7.515570000000000306e-01,3.681019999999999848e-01
7.517319999999999558e-01,3.680980000000000363e-01
7.514410000000000256e-01,3.834359999999999991e-01
7.517249999999999766e-01,3.680990000000000095e-01
