vin,Ileak_1u_0_13u_wo_dummy,Ileak_2u_0_13u_wo_dummy,Ileak_1u_0_50u_w_dummy,Ileak_2u_0_50u_w_dummy
0.000000000000000000e+00,-1.784747319999999959e+01,-4.386213449999999625e+01,-1.757469179999999938e+02,-4.253949519999999893e+02
2.000000000000000042e-02,-9.283293439999999563e+00,-2.282103229999999883e+01,-7.822783169999999586e+01,-1.938510229999999979e+02
4.000000000000000083e-02,-4.468271520000000052e+00,-1.178940549999999909e+01,-3.104661699999999769e+01,-8.160445660000000601e+01
5.999999999999999778e-02,-2.263398400000000255e+00,-5.595011900000000260e+00,-8.227830559999999238e+00,-2.721077409999999830e+01
8.000000000000000167e-02,-1.107585620000000048e+00,-2.763898779999999888e+00,2.804425769999999929e+00,-8.617289929999999432e-01
1.000000000000000056e-01,-5.020015490000000469e-01,-1.282012490000000060e+00,8.557993310000000520e+00,1.189742569999999944e+01
1.199999999999999956e-01,-1.848685770000000061e-01,-5.067723370000000171e-01,1.091616279999999861e+01,1.856108809999999920e+01
1.400000000000000133e-01,-1.887539189999999992e-02,-1.014355119999999916e-01,1.205493570000000148e+01,2.129799760000000219e+01
1.600000000000000033e-01,6.796716179999999496e-02,1.103775560000000017e-01,1.260465160000000040e+01,2.262163089999999954e+01
1.799999999999999933e-01,1.133821639999999936e-01,2.210022550000000086e-01,1.286991730000000089e+01,2.326151069999999876e+01
2.000000000000000111e-01,1.371264430000000145e-01,2.787499920000000020e-01,1.299787809999999943e+01,2.357072030000000140e+01
2.200000000000000011e-01,1.495416039999999946e-01,3.088836929999999592e-01,1.305958839999999910e+01,2.372008199999999789e+01
2.399999999999999911e-01,1.560377720000000190e-01,3.246058720000000175e-01,1.308934590000000142e+01,2.379220649999999893e+01
2.600000000000000089e-01,1.594435780000000025e-01,3.328118959999999960e-01,1.310369919999999944e+01,2.382702760000000097e+01
2.800000000000000266e-01,1.612369540000000157e-01,3.371007930000000097e-01,1.311062979999999989e+01,2.384384090000000000e+01
2.999999999999999889e-01,1.621896170000000081e-01,3.393497239999999637e-01,1.311398520000000012e+01,2.385196559999999977e+01
3.200000000000000067e-01,1.627043000000000239e-01,3.405371070000000056e-01,1.311561960000000049e+01,2.385590020000000067e+01
3.400000000000000244e-01,1.629909590000000186e-01,3.411725649999999832e-01,1.311642590000000119e+01,2.385781520000000100e+01
3.599999999999999867e-01,1.631590179999999890e-01,3.415212880000000339e-01,1.311683400000000077e+01,2.385875730000000061e+01
3.800000000000000044e-01,1.632654330000000154e-01,3.417211819999999567e-01,1.311705070000000006e+01,2.385923110000000236e+01
4.000000000000000222e-01,1.633398399999999862e-01,3.418439010000000056e-01,1.311717550000000010e+01,2.385947960000000023e+01
4.199999999999999845e-01,1.633976429999999813e-01,3.419266400000000039e-01,1.311725619999999992e+01,2.385961969999999965e+01
4.400000000000000022e-01,1.634468410000000094e-01,3.419886890000000124e-01,1.311731559999999952e+01,2.385970770000000130e+01
4.600000000000000200e-01,1.634915840000000231e-01,3.420400439999999875e-01,1.311736499999999950e+01,2.385977069999999856e+01
4.799999999999999822e-01,1.635340230000000006e-01,3.420858749999999837e-01,1.311740939999999966e+01,2.385982179999999886e+01
5.000000000000000000e-01,1.635752719999999938e-01,3.421288590000000074e-01,1.311745159999999899e+01,2.385986700000000127e+01
5.200000000000000178e-01,1.636159080000000043e-01,3.421703769999999700e-01,1.311749260000000028e+01,2.385990959999999816e+01
5.400000000000000355e-01,1.636562280000000147e-01,3.422111399999999692e-01,1.311753309999999928e+01,2.385995080000000002e+01
5.600000000000000533e-01,1.636963849999999998e-01,3.422515170000000051e-01,1.311757330000000010e+01,2.385999130000000079e+01
5.799999999999999600e-01,1.637364590000000009e-01,3.422916970000000059e-01,1.311761339999999976e+01,2.386003159999999923e+01
5.999999999999999778e-01,1.637764909999999963e-01,3.423317750000000048e-01,1.311765349999999941e+01,2.386007180000000005e+01
6.199999999999999956e-01,1.638165019999999750e-01,3.423718040000000018e-01,1.311769349999999967e+01,2.386011179999999854e+01
6.400000000000000133e-01,1.638565020000000150e-01,3.424118070000000125e-01,1.311773349999999994e+01,2.386015180000000058e+01
6.600000000000000311e-01,1.638964980000000016e-01,3.424517999999999729e-01,1.311777350000000020e+01,2.386019190000000023e+01
6.800000000000000488e-01,1.639364920000000170e-01,3.424917880000000192e-01,1.311781350000000046e+01,2.386023189999999872e+01
6.999999999999999556e-01,1.639764870000000041e-01,3.425317769999999817e-01,1.311785350000000072e+01,2.386027190000000076e+01
7.199999999999999734e-01,1.640164829999999907e-01,3.425717679999999987e-01,1.311789349999999921e+01,2.386031190000000279e+01
7.399999999999999911e-01,1.640564810000000040e-01,3.426117639999999853e-01,1.311793349999999947e+01,2.386035189999999773e+01
7.600000000000000089e-01,1.640964819999999880e-01,3.426517649999999970e-01,1.311797349999999973e+01,2.386039189999999977e+01
7.800000000000000266e-01,1.641364869999999976e-01,3.426917729999999773e-01,1.311801349999999999e+01,2.386043189999999825e+01
8.000000000000000444e-01,1.641764950000000056e-01,3.427317879999999817e-01,1.311805350000000026e+01,2.386047190000000029e+01
8.199999999999999512e-01,1.642165080000000110e-01,3.427718089999999829e-01,1.311809350000000052e+01,2.386051189999999878e+01
8.399999999999999689e-01,1.642565269999999855e-01,3.428118399999999788e-01,1.311813350000000078e+01,2.386055190000000081e+01
8.599999999999999867e-01,1.642965579999999814e-01,3.428518860000000501e-01,1.311817349999999927e+01,2.386059190000000285e+01
8.800000000000000044e-01,1.643366079999999951e-01,3.428919570000000250e-01,1.311821349999999953e+01,2.386063189999999778e+01
9.000000000000000222e-01,1.643766940000000176e-01,3.429320730000000039e-01,1.311825349999999979e+01,2.386067189999999982e+01
9.200000000000000400e-01,1.644168490000000038e-01,3.429722769999999921e-01,1.311829350000000005e+01,2.386071189999999831e+01
9.399999999999999467e-01,1.644571320000000059e-01,3.430126450000000049e-01,1.311833350000000031e+01,2.386075190000000035e+01
9.599999999999999645e-01,1.644976569999999916e-01,3.430533290000000179e-01,1.311837350000000058e+01,2.386079189999999883e+01
9.799999999999999822e-01,1.645386420000000127e-01,3.430946159999999634e-01,1.311841349999999906e+01,2.386083190000000087e+01
1.000000000000000000e+00,1.645804929999999944e-01,3.431370549999999686e-01,1.311845349999999932e+01,2.386087190000000291e+01
1.020000000000000018e+00,1.646239850000000005e-01,3.431817010000000057e-01,1.311849360000000075e+01,2.386091199999999901e+01
1.040000000000000036e+00,1.646705740000000140e-01,3.432305629999999885e-01,1.311853370000000041e+01,2.386095209999999867e+01
1.060000000000000053e+00,1.647230130000000015e-01,3.432874840000000316e-01,1.311857380000000006e+01,2.386099240000000066e+01
1.080000000000000071e+00,1.647864960000000045e-01,3.433597999999999928e-01,1.311861419999999967e+01,2.386103299999999905e+01
1.100000000000000089e+00,1.648708180000000023e-01,3.434615089999999982e-01,1.311865500000000040e+01,2.386107429999999852e+01
1.120000000000000107e+00,1.649944439999999901e-01,3.436193170000000352e-01,1.311869649999999865e+01,2.386111689999999896e+01
1.139999999999999902e+00,1.651921650000000019e-01,3.438841489999999723e-01,1.311873980000000017e+01,2.386116250000000250e+01
1.159999999999999920e+00,1.655295180000000144e-01,3.443530209999999814e-01,1.311878680000000053e+01,2.386121419999999915e+01
1.179999999999999938e+00,1.661298700000000128e-01,3.452108269999999979e-01,1.311884130000000148e+01,2.386127890000000207e+01
1.199999999999999956e+00,1.672254030000000224e-01,3.468095580000000178e-01,1.311891179999999935e+01,2.386137089999999716e+01
1.219999999999999973e+00,1.692528279999999941e-01,3.498191870000000314e-01,1.311901570000000028e+01,2.386152020000000107e+01
1.239999999999999991e+00,1.730332840000000094e-01,3.555142999999999498e-01,1.311918949999999917e+01,2.386179020000000151e+01
1.260000000000000009e+00,1.801100039999999902e-01,3.663186370000000025e-01,1.311951010000000117e+01,2.386231400000000136e+01
1.280000000000000027e+00,1.933821150000000211e-01,3.868392010000000214e-01,1.312013789999999958e+01,2.386337179999999947e+01
1.300000000000000044e+00,2.182935640000000233e-01,4.258288990000000385e-01,1.312140970000000095e+01,2.386555279999999968e+01
1.320000000000000062e+00,2.650625269999999922e-01,4.999102910000000066e-01,1.312403089999999928e+01,2.387009670000000128e+01
1.340000000000000080e+00,3.528601339999999920e-01,6.406370319999999952e-01,1.312947929999999985e+01,2.387961080000000180e+01
1.360000000000000098e+00,5.176393459999999447e-01,9.078793799999999026e-01,1.314085150000000013e+01,2.389957910000000041e+01
1.379999999999999893e+00,8.267963640000000058e-01,1.415185600000000044e+00,1.316463509999999992e+01,2.394153639999999683e+01
1.399999999999999911e+00,1.406615619999999955e+00,2.377813290000000190e+00,1.321442250000000129e+01,2.402974299999999985e+01
1.419999999999999929e+00,2.493622430000000278e+00,4.203654209999999836e+00,1.331868990000000075e+01,2.421522300000000172e+01
1.439999999999999947e+00,4.530628300000000053e+00,7.665281949999999789e+00,1.353709460000000142e+01,2.460528709999999819e+01
1.459999999999999964e+00,8.346287470000000042e+00,1.482480589999999943e+01,1.399461409999999972e+01,2.542561759999999893e+01
1.479999999999999982e+00,1.612928729999999788e+01,2.778640760000000043e+01,1.495306019999999947e+01,2.715082870000000170e+01
1.500000000000000000e+00,3.005615459999999928e+01,5.232686689999999885e+01,1.696087869999999853e+01,3.077901329999999902e+01
