f,PSD_R2_in_0,PSD_R2_in_1
1.000000000000000048e-04,1.204278502708419182e-06,2.408557005416838364e-06
1.258925411794167436e-04,7.598483660834872928e-07,1.519696732166974586e-06
1.584893192461114190e-04,4.794319072716504887e-07,9.588638145433009774e-07
1.995262314968878758e-04,3.025010830711954221e-07,6.050021661423908442e-07
2.511886431509579545e-04,1.908652800769837197e-07,3.817305601539674395e-07
3.162277660168379394e-04,1.204278502708419182e-07,2.408557005416838364e-07
3.981071705534973523e-04,7.598483660834868693e-08,1.519696732166973739e-07
5.011872336272725275e-04,4.794319072716504887e-08,9.588638145433009774e-08
6.309573444801929842e-04,3.025010830711953956e-08,6.050021661423907912e-08
7.943282347242813140e-04,1.908652800769837396e-08,3.817305601539674792e-08
1.000000000000000021e-03,1.204278502708419447e-08,2.408557005416838893e-08
1.258925411794167490e-03,7.598483660834872333e-09,1.519696732166974467e-08
1.584893192461114082e-03,4.794319072716506045e-09,9.588638145433012090e-09
1.995262314968878920e-03,3.025010830711953791e-09,6.050021661423907582e-09
2.511886431509582039e-03,1.908652800769833508e-09,3.817305601539667016e-09
3.162277660168379394e-03,1.204278502708419323e-09,2.408557005416838645e-09
3.981071705534973415e-03,7.598483660834870472e-10,1.519696732166974094e-09
5.011872336272724625e-03,4.794319072716507286e-10,9.588638145433014571e-10
6.309573444801930275e-03,3.025010830711954101e-10,6.050021661423908202e-10
7.943282347242820729e-03,1.908652800769833715e-10,3.817305601539667430e-10
1.000000000000000021e-02,1.204278502708418909e-10,2.408557005416837818e-10
1.258925411794167490e-02,7.598483660834872022e-11,1.519696732166974404e-10
1.584893192461114125e-02,4.794319072716506510e-11,9.588638145433013020e-11
1.995262314968880915e-02,3.025010830711947897e-11,6.050021661423895794e-11
2.511886431509582213e-02,1.908652800769832875e-11,3.817305601539665750e-11
3.162277660168379134e-02,1.204278502708419361e-11,2.408557005416838723e-11
3.981071705534973415e-02,7.598483660834869114e-12,1.519696732166973823e-11
5.011872336272724798e-02,4.794319072716504895e-12,9.588638145433009789e-12
6.309573444801935826e-02,3.025010830711948220e-12,6.050021661423896441e-12
7.943282347242822117e-02,1.908652800769833279e-12,3.817305601539666557e-12
1.000000000000000056e-01,1.204278502708419281e-12,2.408557005416838561e-12
1.258925411794167559e-01,7.598483660834868711e-13,1.519696732166973742e-12
1.584893192461114264e-01,4.794319072716504491e-13,9.588638145433008981e-13
1.995262314968880846e-01,3.025010830711947715e-13,6.050021661423895431e-13
2.511886431509582351e-01,1.908652800769832976e-13,3.817305601539665952e-13
3.162277660168379412e-01,1.204278502708419180e-13,2.408557005416838359e-13
3.981071705534973137e-01,7.598483660834872497e-14,1.519696732166974499e-13
5.011872336272724660e-01,4.794319072716506763e-14,9.588638145433013525e-14
6.309573444801935826e-01,3.025010830711947589e-14,6.050021661423895178e-14
7.943282347242821562e-01,1.908652800769833039e-14,3.817305601539666078e-14
1.000000000000000000e+00,1.204278502708419211e-14,2.408557005416838422e-14
1.258925411794168836e+00,7.598483660834856720e-15,1.519696732166971344e-14
1.584893192461114042e+00,4.794319072716506763e-15,9.588638145433013525e-15
1.995262314968878847e+00,3.025010830711954137e-15,6.050021661423908273e-15
2.511886431509582351e+00,1.908652800769832644e-15,3.817305601539665289e-15
3.162277660168379523e+00,1.204278502708419211e-15,2.408557005416838422e-15
3.981071705534977578e+00,7.598483660834853762e-16,1.519696732166970752e-15
5.011872336272724660e+00,4.794319072716505382e-16,9.588638145433010764e-16
6.309573444801943154e+00,3.025010830711941022e-16,6.050021661423882044e-16
7.943282347242821118e+00,1.908652800769833532e-16,3.817305601539667064e-16
1.000000000000000000e+01,1.204278502708419408e-16,2.408557005416838817e-16
1.258925411794168703e+01,7.598483660834856720e-17,1.519696732166971344e-16
1.584893192461114175e+01,4.794319072716506245e-17,9.588638145433012490e-17
1.995262314968882933e+01,3.025010830711940899e-17,6.050021661423881797e-17
2.511886431509581996e+01,1.908652800769833285e-17,3.817305601539666571e-17
3.162277660168379256e+01,1.204278502708419562e-17,2.408557005416839125e-17
3.981071705534977667e+01,7.598483660834853022e-18,1.519696732166970604e-17
5.011872336272725192e+01,4.794319072716506399e-18,9.588638145433012798e-18
6.309573444801942799e+01,3.025010830711941669e-18,6.050021661423883338e-18
7.943282347242821118e+01,1.908652800769833362e-18,3.817305601539666725e-18
1.000000000000000000e+02,1.204278502708419216e-18,2.408557005416838432e-18
1.258925411794168809e+02,7.598483660834857066e-19,1.519696732166971413e-18
1.584893192461114211e+02,4.794319072716505629e-19,9.588638145433011257e-19
1.995262314968883004e+02,3.025010830711941380e-19,6.050021661423882760e-19
2.511886431509582280e+02,1.908652800769833651e-19,3.817305601539667303e-19
3.162277660168379612e+02,1.204278502708418782e-19,2.408557005416837565e-19
3.981071705534977241e+02,7.598483660834856826e-20,1.519696732166971365e-19
5.011872336272724624e+02,4.794319072716505990e-20,9.588638145433011979e-20
6.309573444801942514e+02,3.025010830711941621e-20,6.050021661423883242e-20
7.943282347242821970e+02,1.908652800769833411e-20,3.817305601539666821e-20
1.000000000000000000e+03,1.204278502708419324e-20,2.408557005416838648e-20
1.258925411794168667e+03,7.598483660834857428e-21,1.519696732166971486e-20
1.584893192461114040e+03,4.794319072716507795e-21,9.588638145433015590e-21
1.995262314968882947e+03,3.025010830711941546e-21,6.050021661423883091e-21
2.511886431509582053e+03,1.908652800769833787e-21,3.817305601539667573e-21
3.162277660168379498e+03,1.204278502708418873e-21,2.408557005416837745e-21
3.981071705534977355e+03,7.598483660834856111e-22,1.519696732166971222e-21
5.011872336272725079e+03,4.794319072716505914e-22,9.588638145433011829e-22
6.309573444801942969e+03,3.025010830711941546e-22,6.050021661423883091e-22
7.943282347242821743e+03,1.908652800769832846e-22,3.817305601539665693e-22
1.000000000000000000e+04,1.204278502708419531e-22,2.408557005416839062e-22
1.258925411794166212e+04,7.598483660834885969e-23,1.519696732166977194e-22
1.584893192461117360e+04,4.794319072716486166e-23,9.588638145432972332e-23
1.995262314968882856e+04,3.025010830711942251e-23,6.050021661423884502e-23
2.511886431509582326e+04,1.908652800769833081e-23,3.817305601539666163e-23
3.162277660168379225e+04,1.204278502708419384e-23,2.408557005416838768e-23
3.981071705534969078e+04,7.598483660834889201e-24,1.519696732166977840e-23
5.011872336272735265e+04,4.794319072716486019e-24,9.588638145432972038e-24
6.309573444801942969e+04,3.025010830711941516e-24,6.050021661423883033e-24
7.943282347242820833e+04,1.908652800769833596e-24,3.817305601539667191e-24
1.000000000000000000e+05,1.204278502708419384e-24,2.408557005416838768e-24
1.258925411794166139e+05,7.598483660834886262e-25,1.519696732166977252e-24
1.584893192461117287e+05,4.794319072716487672e-25,9.588638145432975344e-25
1.995262314968883002e+05,3.025010830711941975e-25,6.050021661423883951e-25
2.511886431509582035e+05,1.908652800769833274e-25,3.817305601539666549e-25
3.162277660168379080e+05,1.204278502708419430e-25,2.408557005416838860e-25
3.981071705534985522e+05,7.598483660834824733e-26,1.519696732166964947e-25
5.011872336272735265e+05,4.794319072716486295e-26,9.588638145432972589e-26
6.309573444801942678e+05,3.025010830711942205e-26,6.050021661423884410e-26
7.943282347242821706e+05,1.908652800769833102e-26,3.817305601539666204e-26
1.000000000000000000e+06,1.204278502708419258e-26,2.408557005416838516e-26
